Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021743604,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:30 PM
P021743668,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:30 PM
P021743635,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:30 PM
P021743649,1U,Traffic Offending,Road Policing,Closed,SH 1,WARKWORTH,AUCKLAND,Sat 7:30 PM
P021743535,1U,Traffic Offending,Road Policing,Closed,FEDERAL ST,AUCKLAND CENTRAL,AUCKLAND,Sat 7:30 PM
P021743074,1D,Domestic Dispute,Family violence,Closed,TAVENDER ST,WOOLSTON,CHRISTCHURCH,Sat 7:21 PM
P021743021,1D,Domestic Dispute,Family violence,Cancelled,BICKNELL RD,FAVONA,AUCKLAND,Sat 7:20 PM
P021743113,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,ROBERTS ST,TAWA,WELLINGTON,Sat 7:20 PM
P021743546,1C,Car/Person Acting Suspiciously,Public safety,Closed,VICKI ST,SOCKBURN,CHRISTCHURCH,Sat 7:20 PM
P021743280,1D,Domestic Dispute,Family violence,Closed,BLAMPIED RD,OTARA,AUCKLAND,Sat 7:20 PM
P021743588,1V,Vehicle Collision,Road Policing,Closed,ELLERSLIE-PANMURE HWY,ELLERSLIE,AUCKLAND,Sat 7:20 PM
P021743559,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:20 PM
P021743472,1U,Traffic Offending,Road Policing,Closed,-,RANGIORA,WAIMAKARIRI,Sat 7:20 PM
P021743288,FIR2POL,Fire Assistance,Tasks,Closed,JUDDS RD,SOLWAY,MASTERTON,Sat 7:20 PM
P021743066,1D,Domestic Dispute,Family violence,Closed,BICKNELL RD,FAVONA,AUCKLAND,Sat 7:19 PM
P021743239,1710,Intimidation/Threats,Violence,Closed,EWERT ST,FORDLANDS,ROTORUA,Sat 7:10 PM
P021743420,2M,Missing Person,Public safety,Closed,GREAT SOUTH RD,MANUREWA,AUCKLAND,Sat 7:10 PM
