Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021741930,1710,Intimidation/Threats,Violence,Cancelled,TRIANGLE RD,MASSEY,AUCKLAND,Sat 4:10 PM
P021742000,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,WELLINGTON URBAN MWY,KAIWHARAWHARA,WELLINGTON,Sat 4:10 PM
P021741993,1I,Blockage/Breakdown On Highway,Road Policing,Closed,WELLINGTON URBAN MWY,NGAURANGA,WELLINGTON,Sat 4:10 PM
P021741927,1V,Vehicle Collision,Road Policing,Closed,GEORGE ST,MOEREWA,FAR NORTH,Sat 4:10 PM
P021741862,1V,Vehicle Collision,Road Policing,Cancelled,-,BURNSIDE,CHRISTCHURCH,Sat 4:10 PM
P021742003,1V,Vehicle Collision,Road Policing,Cancelled,HYPERION DR,RANDWICK PARK,AUCKLAND,Sat 4:10 PM
P021741960,2M,Missing Person,Public safety,Closed,FAIRFIELD RD,FAIRFIELD,HAMILTON,Sat 4:10 PM
P021741934,3530,Disorder,Disorder,Closed,JOHNSONVILLE RD,JOHNSONVILLE,WELLINGTON,Sat 4:10 PM
P021741395,3530,Disorder,Disorder,Closed,GREY ST,HAMILTON EAST,HAMILTON,Sat 4:10 PM
P021741539,4320,Theft Ex Shop,Dishonesty,Closed,BUCKLEYS RD,LINWOOD,CHRISTCHURCH,Sat 4:10 PM
P021741521,1J,Juvenile Complaint,Public safety,Closed,BRECKONS AV,NAWTON,HAMILTON,Sat 4:05 PM
P021741501,1S,Sudden Death,Public safety,Closed,RANGIURU RD,RANGIURU,WESTERN BAY OF PLENTY,Sat 4:04 PM
P021739713,1710,Intimidation/Threats,Violence,Cancelled,MASSINE PL,RANDWICK PARK,AUCKLAND,Sat 4:00 PM
P021741898,1C,Car/Person Acting Suspiciously,Public safety,Closed,RAEKURA PL,REDCLIFFS,CHRISTCHURCH,Sat 4:00 PM
P021741851,1C,Car/Person Acting Suspiciously,Public safety,Closed,FERGUSSON DR,TRENTHAM,UPPER HUTT,Sat 4:00 PM
P021741859,1D,Domestic Dispute,Family violence,Closed,-,BOULCOTT,LOWER HUTT,Sat 4:00 PM
P021741676,1K,Drunk Custody/Detox Centre,Liquor,Closed,PARAKAI ST,PARAPARAUMU,KAPITI,Sat 4:00 PM
P021741868,1V,Vehicle Collision,Road Policing,Closed,BEDFORD ST,CANNONS CREEK,PORIRUA,Sat 4:00 PM
P021741891,3530,Disorder,Disorder,Closed,TE PENE AV,TITAHI BAY,PORIRUA,Sat 4:00 PM
P021741899,3H,Hotel Visit,Liquor,Closed,-,,,Sat 4:00 PM
P021740222,4211,Car Conversion,Vehicle Crime/incident,Closed,BUKEM PL,FAVONA,AUCKLAND,Sat 4:00 PM
P021741171,1D,Domestic Dispute,Family violence,Closed,PANORAMA DR,PARAHAKI,WHANGAREI,Sat 3:53 PM
P021741250,1D,Domestic Dispute,Family violence,Closed,ERUA RD,OSTEND,AUCKLAND,Sat 3:53 PM
P021741818,1510,Serious Assaults,Violence,Closed,TRIANGLE RD,MASSEY,AUCKLAND,Sat 3:50 PM
P021741838,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,,,Sat 3:50 PM
P021741833,1V,Vehicle Collision,Road Policing,Closed,RUSSLEY RD,BURNSIDE,CHRISTCHURCH,Sat 3:50 PM
P021741795,4320,Theft Ex Shop,Dishonesty,Closed,ERUERA ST,ROTORUA,ROTORUA,Sat 3:50 PM
P021741762,1U,Traffic Offending,Road Policing,Closed,-,,,Sat 3:50 PM
P021741344,1D,Domestic Dispute,Family violence,Cancelled,POSA AV,HENDERSON,AUCKLAND,Sat 3:41 PM
P021741342,1D,Domestic Dispute,Family violence,Cancelled,POSA AV,HENDERSON,AUCKLAND,Sat 3:41 PM
P021741338,1D,Domestic Dispute,Family violence,Closed,POSA AV,HENDERSON,AUCKLAND,Sat 3:41 PM
P021741725,1510,Serious Assaults,Violence,Closed,SALA ST,WHAKAREWAREWA,ROTORUA,Sat 3:40 PM
P021741745,1640,Minor Assaults,Violence,Closed,RAILSIDE AV,HENDERSON,AUCKLAND,Sat 3:40 PM
P021741686,3530,Disorder,Disorder,Closed,QUEEN ST,AUCKLAND CENTRAL,AUCKLAND,Sat 3:40 PM
P021741696,3910,Liquor Offences,Liquor,Closed,NULL,TE AWAMUTU,WAIPA,Sat 3:40 PM
P021741717,4120,Burglary,Burglary,Closed,BAY ST,RED BEACH,AUCKLAND,Sat 3:40 PM
P021741733,1U,Traffic Offending,Road Policing,Closed,-,WOODEND,WAIMAKARIRI,Sat 3:40 PM
P021741722,1U,Traffic Offending,Road Policing,Closed,-,KAIWAKA,KAIPARA,Sat 3:40 PM
P021741128,1310,Robbery,Violence,Closed,GREAT SOUTH RD,TAKANINI,AUCKLAND,Sat 3:30 PM
P021741668,1D,Domestic Dispute,Family violence,Closed,SWANSEA ST,CANNONS CREEK,PORIRUA,Sat 3:30 PM
P021741688,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SOUTHERN MWY,PENROSE,AUCKLAND,Sat 3:30 PM
P021740541,2R,Recovery Motor Vehicle,Vehicle Crime/incident,Closed,NULL,PAREMOREMO,AUCKLAND,Sat 3:30 PM
P021740951,4120,Burglary,Burglary,Closed,MARSHALL ST,FAIRFIELD,HAMILTON,Sat 3:30 PM
P021741679,4320,Theft Ex Shop,Dishonesty,Closed,CASHEL ST,CHRISTCHURCH CENTRAL,CHRISTCHURCH,Sat 3:30 PM
P021741675,1U,Traffic Offending,Road Policing,Closed,-,AUCKLAND AIRPORT,AUCKLAND,Sat 3:30 PM
P021741667,1U,Traffic Offending,Road Policing,Cancelled,ARTHUR CR,HILLTOP,TAUPO,Sat 3:30 PM
P021741595,3530,Disorder,Disorder,Closed,FITZHERBERT RD,WAINUIOMATA,LOWER HUTT,Sat 3:20 PM
P021741493,3530,Disorder,Disorder,Cancelled,GREENHILL CR,PAKURANGA,AUCKLAND,Sat 3:20 PM
P021741627,3H,Hotel Visit,Liquor,Closed,-,,,Sat 3:20 PM
P021740531,6110,Trespass,Public safety,Closed,FORD ST,OPOTIKI,OPOTIKI,Sat 3:20 PM
P021741601,1U,Traffic Offending,Road Policing,Closed,ARTHUR CR,HILLTOP,TAUPO,Sat 3:20 PM
P021741579,AMB2POL,Ambulance Assistance,Tasks,Closed,HIGH ST,CARTERTON,CARTERTON,Sat 3:20 PM
P021741107,1D,Domestic Dispute,Family violence,Closed,ATKINSON ST,KAWERAU,KAWERAU,Sat 3:16 PM
P021741038,3710,Child Abuse,Family violence,Closed,SHARDA GR,PARAPARAUMU BEACH,KAPITI,Sat 3:13 PM
P021741074,1J,Juvenile Complaint,Public safety,Closed,BOULCOTT ST,BOULCOTT,LOWER HUTT,Sat 3:12 PM
P021741066,1D,Domestic Dispute,Family violence,Closed,VICTORIA AV,MORRINSVILLE,MATAMATA-PIAKO,Sat 3:12 PM
P021741159,1640,Minor Assaults,Violence,Closed,RAILSIDE AV,HENDERSON,AUCKLAND,Sat 3:10 PM
P021741552,1V,Vehicle Collision,Road Policing,Cancelled,TE ATATU RD,TE ATATU PENINSULA,AUCKLAND,Sat 3:10 PM
P021741546,1V,Vehicle Collision,Road Policing,Closed,-,,,Sat 3:10 PM
P021741517,2M,Missing Person,Public safety,Closed,TI RAKAU DR,PAKURANGA,AUCKLAND,Sat 3:10 PM
P021741544,2M,Missing Person,Public safety,Closed,ORIENTAL PDE,ORIENTAL BAY,WELLINGTON,Sat 3:10 PM
P021741169,3530,Disorder,Disorder,Cancelled,WISE ST,WAINUIOMATA,LOWER HUTT,Sat 3:10 PM
P021740283,3530,Disorder,Disorder,Closed,HAUMIA WAY,OTARA,AUCKLAND,Sat 3:10 PM
P021741485,4120,Burglary,Burglary,Closed,LEAVER TCE,NORTH NEW BRIGHTON,CHRISTCHURCH,Sat 3:10 PM
P021741512,4320,Theft Ex Shop,Dishonesty,Closed,MAIN NORTH RD,PAPANUI,CHRISTCHURCH,Sat 3:10 PM
P021741303,5120,Wilful Damage,Property damage,Cancelled,ORIENTAL TCE,ORIENTAL BAY,WELLINGTON,Sat 3:10 PM
P021741535,1U,Traffic Offending,Road Policing,Closed,FAIRY SPRINGS RD,FAIRY SPRINGS,ROTORUA,Sat 3:10 PM
P021741520,1U,Traffic Offending,Road Policing,Closed,GREAT SOUTH RD,GREENLANE,AUCKLAND,Sat 3:10 PM
P021741210,1U,Traffic Offending,Road Policing,Closed,COULTER RD,HENDERSON VALLEY,AUCKLAND,Sat 3:10 PM
P021741033,1D,Domestic Dispute,Family violence,Closed,KORMA RD,ROYAL OAK,AUCKLAND,Sat 3:07 PM
P021741021,1D,Domestic Dispute,Family violence,Closed,PALOMINO PL,PAPAMOA BEACH,TAURANGA,Sat 3:04 PM
P021741416,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,POSA AV,HENDERSON,AUCKLAND,Sat 3:00 PM
P021741463,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,CHRISTCHURCH CENTRAL,CHRISTCHURCH,Sat 3:00 PM
P021741430,1F,Assist Fire/Ambulance/Traffic,Public safety,Closed,-,,,Sat 3:00 PM
P021741423,1I,Blockage/Breakdown On Highway,Road Policing,Closed,NORTH-WESTERN MWY,GREY LYNN,AUCKLAND,Sat 3:00 PM
P021741411,1I,Blockage/Breakdown On Highway,Road Policing,Closed,-,OHAEAWAI,FAR NORTH,Sat 3:00 PM
P021741401,1V,Vehicle Collision,Road Policing,Closed,SH 29,LOWER KAIMAI,WESTERN BAY OF PLENTY,Sat 3:00 PM
P021740671,3530,Disorder,Disorder,Closed,STANMORE RD,LINWOOD,CHRISTCHURCH,Sat 3:00 PM
P021740959,4320,Theft Ex Shop,Dishonesty,Closed,MAIN NORTH RD,PAPANUI,CHRISTCHURCH,Sat 3:00 PM
P021740340,3710,Child Abuse,Family violence,Closed,DOMINION RD,MOUNT ROSKILL,AUCKLAND,Sat 2:54 PM
P021741347,1C,Car/Person Acting Suspiciously,Public safety,Closed,SOUTH-WESTERN MWY,MANGERE,AUCKLAND,Sat 2:50 PM
P021741363,1V,Vehicle Collision,Road Policing,Closed,ROSEBANK RD,AVONDALE,AUCKLAND,Sat 2:50 PM
P021741348,3530,Disorder,Disorder,Cancelled,ACCESS RD,KUMEU,AUCKLAND,Sat 2:50 PM
P021741335,3530,Disorder,Disorder,Closed,OKOWAI RD,AOTEA,PORIRUA,Sat 2:50 PM
P021740919,3530,Disorder,Disorder,Closed,WRIGHTS HILL RD,KARORI,WELLINGTON,Sat 2:50 PM
P021741341,4211,Car Conversion,Vehicle Crime/incident,Closed,TI RAKAU DR,GOLFLANDS,AUCKLAND,Sat 2:50 PM
P021741381,4370,General Theft,Dishonesty,Closed,RIMU ST,GATE PA,TAURANGA,Sat 2:50 PM
P021741394,5120,Wilful Damage,Property damage,Closed,MOUNT VIEW DR,MANGAKAKAHI,ROTORUA,Sat 2:50 PM
P021741357,6I,Unauthorised Street And Drag Racing,Disorder,Closed,ELIZABETH ST,TAUHARA,TAUPO,Sat 2:50 PM
P021740860,1D,Domestic Dispute,Family violence,Closed,NIKAU ST,NEW LYNN,AUCKLAND,Sat 2:41 PM
P021741105,1U,Traffic Offending,Road Policing,Closed,SH 3,TE MAPARA,WAITOMO,Sat 2:40 PM
P021736960,1D,Domestic Dispute,Family violence,Closed,DOCKSIDE LA,AUCKLAND CENTRAL,AUCKLAND,Sat 2:40 PM
P021740228,1D,Domestic Dispute,Family violence,Closed,MACES RD,BROMLEY,CHRISTCHURCH,Sat 2:35 PM
P021741116,1640,Minor Assaults,Violence,Closed,THE TERRACE,TIMARU,TIMARU,Sat 2:30 PM
P021741125,1C,Car/Person Acting Suspiciously,Public safety,Closed,PARKWAY,EAST TAMAKI,AUCKLAND,Sat 2:30 PM
P021741139,4320,Theft Ex Shop,Dishonesty,Closed,BROADWAY,NEWMARKET,AUCKLAND,Sat 2:30 PM
P021740606,4370,General Theft,Dishonesty,Closed,ACCESS RD,KUMEU,AUCKLAND,Sat 2:30 PM
P021741119,1U,Traffic Offending,Road Policing,Closed,SH 1,PAEKAKARIKI,KAPITI,Sat 2:30 PM
P021740670,1U,Traffic Offending,Road Policing,Closed,SANDHURST DR,PAPAMOA BEACH,TAURANGA,Sat 2:30 PM
P021741085,1C,Car/Person Acting Suspiciously,Public safety,Closed,BAKEHOUSE LA,OREWA,AUCKLAND,Sat 2:20 PM
P021741077,3530,Disorder,Disorder,Closed,-,TITAHI BAY,PORIRUA,Sat 2:20 PM
P021740457,3910,Liquor Offences,Liquor,Closed,QUEENS DR,HUTT CENTRAL,LOWER HUTT,Sat 2:20 PM
P021741064,4120,Burglary,Burglary,Closed,PUPUKE RD,HILLCREST,AUCKLAND,Sat 2:20 PM
P021741073,4370,General Theft,Dishonesty,Closed,RICCARTON RD,RICCARTON,CHRISTCHURCH,Sat 2:20 PM
P021741094,1U,Traffic Offending,Road Policing,Closed,RIVERTON DR,RANDWICK PARK,AUCKLAND,Sat 2:20 PM
P021740039,1D,Domestic Dispute,Family violence,Closed,TITAHI BAY RD,PORIRUA   CENTRE,PORIRUA,Sat 2:10 PM
P021740990,1W,Water/Sea Rescue/Emergency,Public safety,Closed,NULL,LYTTELTON HARBOUR/WHAKARAUPO,CHRISTCHURCH,Sat 2:10 PM
P021741012,3530,Disorder,Disorder,Closed,COLOMBO RD,LANSDOWNE,MASTERTON,Sat 2:10 PM
P021740616,3530,Disorder,Disorder,Closed,FROBISHER WAY,CLENDON PARK,AUCKLAND,Sat 2:10 PM
P021740589,3530,Disorder,Disorder,Cancelled,FROBISHER WAY,CLENDON PARK,AUCKLAND,Sat 2:10 PM
P021740568,1D,Domestic Dispute,Family violence,Closed,KURUPAE RD,HILLTOP,TAUPO,Sat 2:06 PM
P021740601,3710,Child Abuse,Family violence,Closed,GEORGE ST,TE AWAMUTU,WAIPA,Sat 2:02 PM
P021740145,1510,Serious Assaults,Violence,Closed,ORERE POINT RD,ORERE POINT,AUCKLAND,Sat 2:00 PM
P021740892,1I,Blockage/Breakdown On Highway,Road Policing,Closed,UPPER HARBOUR MWY,GREENHITHE,AUCKLAND,Sat 2:00 PM
P021740719,1I,Blockage/Breakdown On Highway,Road Policing,Closed,NORTHERN MWY,AUCKLAND CENTRAL,AUCKLAND,Sat 2:00 PM
P021740627,3530,Disorder,Disorder,Closed,LINK CR,STANMORE BAY,AUCKLAND,Sat 2:00 PM
P021740828,1U,Traffic Offending,Road Policing,Closed,SH 2,RIMUTAKA HILL,UPPER HUTT,Sat 2:00 PM
P021740823,1U,Traffic Offending,Road Policing,Closed,THORNTON RD,CAMBRIDGE,WAIPA,Sat 2:00 PM
P021740207,1U,Traffic Offending,Road Policing,Closed,GILLINGHAM RD,KAMO,WHANGAREI,Sat 2:00 PM
P021740885,1V,Vehicle Collision,Road Policing,Closed,-,MIRAMAR,WELLINGTON,Sat 1:50 PM
P021740854,3530,Disorder,Disorder,Cancelled,NIKAU ST,NEW LYNN,AUCKLAND,Sat 1:50 PM
P021740407,5120,Wilful Damage,Property damage,Closed,HIGH ST,RANGIORA,WAIMAKARIRI,Sat 1:50 PM
P021740865,1U,Traffic Offending,Road Policing,Closed,RIVER RD,HAYWARDS,LOWER HUTT,Sat 1:50 PM
P021740468,1D,Domestic Dispute,Family violence,Closed,BELL ST,JUDEA,TAURANGA,Sat 1:48 PM
P021740318,1D,Domestic Dispute,Family violence,Closed,DALLAS PL,RAUMANGA,WHANGAREI,Sat 1:42 PM
P021740800,1510,Serious Assaults,Violence,Closed,MOONSHINE RD,TRENTHAM,UPPER HUTT,Sat 1:40 PM
P021740557,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,CASHMERE VIEW ST,SOMERFIELD,CHRISTCHURCH,Sat 1:40 PM
P021740812,1F,Assist Fire/Ambulance/Traffic,Public safety,Closed,-,,,Sat 1:40 PM
P021740802,1V,Vehicle Collision,Road Policing,Closed,ARARIMU RD,RAMARAMA,AUCKLAND,Sat 1:40 PM
P021740774,1V,Vehicle Collision,Road Policing,Closed,FENTON ST,ROTORUA,ROTORUA,Sat 1:40 PM
P021740227,2R,Recovery Motor Vehicle,Vehicle Crime/incident,Closed,RUSSELL RD,KENSINGTON,WHANGAREI,Sat 1:40 PM
P021739188,3530,Disorder,Disorder,Closed,BELLEVUE RD,MOUNT EDEN,AUCKLAND,Sat 1:40 PM
P021739854,3530,Disorder,Disorder,Closed,JANE COWIE AV,OTAHUHU,AUCKLAND,Sat 1:40 PM
P021740809,1U,Traffic Offending,Road Policing,Closed,WAIMATE HWY,MAKIKIHI,WAIMATE,Sat 1:40 PM
P021740399,1D,Domestic Dispute,Family violence,Closed,ALDERN RD,MASSEY,AUCKLAND,Sat 1:40 PM
P021740755,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SH 29,MAUNGATAPU,TAURANGA,Sat 1:30 PM
P021740746,3530,Disorder,Disorder,Closed,FRASER CR,ELDERSLEA,UPPER HUTT,Sat 1:30 PM
P021740596,3530,Disorder,Disorder,Closed,NORANA RD,TIMBERLEA,UPPER HUTT,Sat 1:30 PM
P021739814,3530,Disorder,Disorder,Closed,RATHGAR RD,HENDERSON,AUCKLAND,Sat 1:30 PM
P021740704,5110,Arson,Property damage,Closed,MEPHAM PL,RANUI,PORIRUA,Sat 1:30 PM
P021740740,1U,Traffic Offending,Road Policing,Closed,SH 1,PUKERUA BAY,PORIRUA,Sat 1:30 PM
P021740331,6820,Firearms Offences,Public safety,Closed,BOND RD,TE AWAMUTU,WAIPA,Sat 1:28 PM
P021739992,1D,Domestic Dispute,Family violence,Closed,PAEROA KOPU RD,KOPU,THAMES-COROMANDEL,Sat 1:24 PM
P021740287,1310,Robbery,Violence,Closed,-,BEERESCOURT,HAMILTON,Sat 1:23 PM
P021740691,1V,Vehicle Collision,Road Policing,Closed,PIHA RD,PIHA,AUCKLAND,Sat 1:20 PM
P021740701,4120,Burglary,Burglary,Closed,MATILDA ST,SEAVIEW,TIMARU,Sat 1:20 PM
P021740688,1U,Traffic Offending,Road Policing,Closed,-,HIGHLAND PARK,AUCKLAND,Sat 1:20 PM
P021740525,1640,Minor Assaults,Violence,Closed,RICCARTON RD,UPPER RICCARTON,CHRISTCHURCH,Sat 1:10 PM
P021740563,1V,Vehicle Collision,Road Policing,Closed,SOUTHERN MWY,GRAFTON,AUCKLAND,Sat 1:10 PM
P021740600,3H,Hotel Visit,Liquor,Closed,-,,,Sat 1:10 PM
P021740460,1U,Traffic Offending,Road Policing,Closed,SANDRINGHAM RD,MOUNT ROSKILL,AUCKLAND,Sat 1:10 PM
P021740547,5134,Wilful Damage - Graffiti,Property damage,Closed,TASMAN ST,MOUNT COOK,WELLINGTON,Sat 1:10 PM
P021740141,1D,Domestic Dispute,Family violence,Closed,DAVIS CR,NETHERBY,ASHBURTON,Sat 1:01 PM
P021740392,1F,Assist Fire/Ambulance/Traffic,Public safety,Closed,TRENT ST,ISLAND BAY,WELLINGTON,Sat 1:00 PM
P021740524,1V,Vehicle Collision,Road Policing,Closed,-,TAURANGA,TAURANGA,Sat 1:00 PM
P021740076,3710,Child Abuse,Family violence,Cancelled,DENISE CR,HORNBY,CHRISTCHURCH,Sat 12:56 PM
P021740050,1D,Domestic Dispute,Family violence,Closed,MAIR ST,KENSINGTON,WHANGAREI,Sat 12:55 PM
P021739949,1D,Domestic Dispute,Family violence,Closed,NEAL ST,PUTARURU,SOUTH WAIKATO,Sat 12:54 PM
P021740416,2M,Missing Person,Public safety,Closed,NEVILLE ST,SPREYDON,CHRISTCHURCH,Sat 12:50 PM
P021740423,2R,Recovery Motor Vehicle,Vehicle Crime/incident,Closed,MAIN RD,PUMPKIN HILL,THAMES-COROMANDEL,Sat 12:50 PM
P021740415,4120,Burglary,Burglary,Closed,THOMAS RD,FLAT BUSH,AUCKLAND,Sat 12:50 PM
P021740449,4320,Theft Ex Shop,Dishonesty,Closed,SISSON DR,PAPANUI,CHRISTCHURCH,Sat 12:50 PM
P021740442,6110,Trespass,Public safety,Closed,BELL ST,JUDEA,TAURANGA,Sat 12:50 PM
P021740401,1U,Traffic Offending,Road Policing,Closed,GREAT SOUTH RD,BOMBAY,AUCKLAND,Sat 12:50 PM
P021740411,1U,Traffic Offending,Road Policing,Closed,-,EPSOM,AUCKLAND,Sat 12:50 PM
P021739616,1D,Domestic Dispute,Family violence,Closed,DENISE CR,HORNBY,CHRISTCHURCH,Sat 12:45 PM
P021740370,1I,Blockage/Breakdown On Highway,Road Policing,Closed,NORTH-WESTERN MWY,AVONDALE,AUCKLAND,Sat 12:40 PM
P021740383,1I,Blockage/Breakdown On Highway,Road Policing,Closed,AOTEA QUAY,PIPITEA,WELLINGTON,Sat 12:40 PM
P021740374,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,AOTEA QUAY,PIPITEA,WELLINGTON,Sat 12:40 PM
P021740372,1V,Vehicle Collision,Road Policing,Closed,SH 1,QUEEN ELIZABETH PARK,KAPITI,Sat 12:40 PM
P021740332,2M,Missing Person,Public safety,Closed,-,RANUI,AUCKLAND,Sat 12:40 PM
P021733983,3850,Domestic Violence,Family violence,Closed,MARTYN ST,WAIUKU,AUCKLAND,Sat 12:39 PM
P021739754,1D,Domestic Dispute,Family violence,Closed,LANGDON LA,MELVILLE,HAMILTON,Sat 12:32 PM
P021739767,1D,Domestic Dispute,Family violence,Closed,NIAGARA ST,WAITANGIRUA,PORIRUA,Sat 12:31 PM
P021740261,1640,Minor Assaults,Violence,Closed,JACK ST,OTANGAREI,WHANGAREI,Sat 12:30 PM
P021740272,1V,Vehicle Collision,Road Policing,Closed,-,ROSEDALE,AUCKLAND,Sat 12:30 PM
P021740305,4320,Theft Ex Shop,Dishonesty,Closed,BETHLEHEM RD,BETHLEHEM,TAURANGA,Sat 12:30 PM
P021740301,6I,Unauthorised Street And Drag Racing,Disorder,Closed,GEAR TCE,RANUI,PORIRUA,Sat 12:30 PM
P021739892,1D,Domestic Dispute,Family violence,Closed,OXFORD CR,EBDENTOWN,UPPER HUTT,Sat 12:27 PM
P021739783,1D,Domestic Dispute,Family violence,Closed,VICTORIA ST,WHITIORA,HAMILTON,Sat 12:25 PM
P021739830,1D,Domestic Dispute,Family violence,Closed,SAN AMBROSIO RISE,HENDERSON,AUCKLAND,Sat 12:21 PM
P021740226,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,TRENTHAM,UPPER HUTT,Sat 12:20 PM
P021740216,1C,Car/Person Acting Suspiciously,Public safety,Closed,ASH ST,AVONDALE,AUCKLAND,Sat 12:20 PM
P021739615,1G,Solvent Abuse,Public safety,Closed,MAIN HWY,ELLERSLIE,AUCKLAND,Sat 12:20 PM
P021739845,3530,Disorder,Disorder,Closed,TAHAROTO RD,TAKAPUNA,AUCKLAND,Sat 12:20 PM
P021740187,4320,Theft Ex Shop,Dishonesty,Closed,VICTORIA ST,AUCKLAND CENTRAL,AUCKLAND,Sat 12:20 PM
P021740211,1U,Traffic Offending,Road Policing,Closed,-,OTAIKA,WHANGAREI,Sat 12:20 PM
P021740210,1U,Traffic Offending,Road Policing,Closed,SOUTHERN MWY,OTARA,AUCKLAND,Sat 12:20 PM
P021740129,1640,Minor Assaults,Violence,Closed,GARDEN PL,HAMILTON CENTRAL,HAMILTON,Sat 12:10 PM
P021739664,1C,Car/Person Acting Suspiciously,Public safety,Closed,WHITEHALL ST,MAIREHAU,CHRISTCHURCH,Sat 12:10 PM
P021740128,1C,Car/Person Acting Suspiciously,Public safety,Closed,BRACKEN AV,TAKAPUNA,AUCKLAND,Sat 12:10 PM
P021740119,1U,Traffic Offending,Road Policing,Closed,-,POMARE,ROTORUA,Sat 12:10 PM
P021740052,1U,Traffic Offending,Road Policing,Closed,-,WESTERN HEIGHTS,ROTORUA,Sat 12:10 PM
P021740036,1V,Vehicle Collision,Road Policing,Cancelled,SOUTHERN MWY,OTARA,AUCKLAND,Sat 12:00 PM
P021740094,4120,Burglary,Burglary,Closed,GLENBROOK RD,KINGSEAT,AUCKLAND,Sat 12:00 PM
P021740042,4320,Theft Ex Shop,Dishonesty,Closed,GLOUCESTER ST,CHRISTCHURCH CENTRAL,CHRISTCHURCH,Sat 12:00 PM
P021749507,1D,Domestic Dispute,Family violence,In Progress,RICHARD ST,OPOTIKI,OPOTIKI,Sun 10:56 AM
P021749508,1D,Domestic Dispute,Family violence,Cancelled,GORDON RD,WESTERN HEIGHTS,ROTORUA,Sun 10:52 AM
P021749828,1C,Car/Person Acting Suspiciously,Public safety,In Progress,KERKWALL DR,NAENAE,LOWER HUTT,Sun 10:50 AM
P021749090,4120,Burglary,Burglary,Closed,LENORE RD,FAVONA,AUCKLAND,Sun 10:50 AM
P021749858,1U,Traffic Offending,Road Policing,In Progress,SH 1,PIARERE,SOUTH WAIKATO,Sun 10:50 AM
P021749486,1D,Domestic Dispute,Family violence,Closed,HUGHES CR,TAITA,LOWER HUTT,Sun 10:49 AM
P021749462,1D,Domestic Dispute,Family violence,In Progress,GORDON RD,WESTERN HEIGHTS,ROTORUA,Sun 10:49 AM
P021749482,1D,Domestic Dispute,Family violence,In Progress,CAMBRIDGE RD,WAIHI,HAURAKI,Sun 10:45 AM
P021749308,1D,Domestic Dispute,Family violence,Closed,WESTERN RD,NGONGOTAHA,ROTORUA,Sun 10:44 AM
P021749420,1D,Domestic Dispute,Family violence,In Progress,DONNELL AV,FAVONA,AUCKLAND,Sun 10:43 AM
P021747786,1D,Domestic Dispute,Family violence,Closed,BEACH RD,AUCKLAND CENTRAL,AUCKLAND,Sun 10:42 AM
P021749418,1D,Domestic Dispute,Family violence,Closed,MILTONIA AV,TE ATATU SOUTH,AUCKLAND,Sun 10:40 AM
P021748397,1510,Serious Assaults,Violence,In Progress,PARK RD,GRAFTON,AUCKLAND,Sun 10:40 AM
P021749793,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SOUTHERN MWY,MOUNT WELLINGTON,AUCKLAND,Sun 10:40 AM
P021749698,1V,Vehicle Collision,Road Policing,In Progress,HANMER SPRINGS RD,HANMER SPRINGS,HURUNUI,Sun 10:40 AM
P021749817,1V,Vehicle Collision,Road Policing,In Progress,POWELLS RD,FAIRVIEW DOWNS,HAMILTON,Sun 10:40 AM
P021749815,1V,Vehicle Collision,Road Policing,In Progress,-,WAIRAU VALLEY,AUCKLAND,Sun 10:40 AM
P021749777,4320,Theft Ex Shop,Dishonesty,In Progress,JACKSON ST,PETONE,LOWER HUTT,Sun 10:40 AM
P021749207,1D,Domestic Dispute,Family violence,Closed,DEWSBURY GR,WAINUIOMATA,LOWER HUTT,Sun 10:37 AM
P021749753,1C,Car/Person Acting Suspiciously,Public safety,In Progress,-,POIKE,TAURANGA,Sun 10:30 AM
P021749727,1C,Car/Person Acting Suspiciously,Public safety,In Progress,AUFIDIUS PL,PUKEKOHE,AUCKLAND,Sun 10:30 AM
P021749516,1C,Car/Person Acting Suspiciously,Public safety,Closed,UNNAMED RD,NAENAE,LOWER HUTT,Sun 10:30 AM
P021749715,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,CONSTELLATION DR,ROSEDALE,AUCKLAND,Sun 10:30 AM
P021749707,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,CONSTELLATION DR,ROSEDALE,AUCKLAND,Sun 10:30 AM
P021749695,1I,Blockage/Breakdown On Highway,Road Policing,Closed,CONSTELLATION DR,ROSEDALE,AUCKLAND,Sun 10:30 AM
P021749737,1Z,Other Incident,Tasks,Closed,FIRESTONE . SUNNYBRAE RD,,,Sun 10:30 AM
P021749705,1U,Traffic Offending,Road Policing,In Progress,-,OHAAKI,TAUPO,Sun 10:30 AM
P021749596,1U,Traffic Offending,Road Policing,Closed,-,RANGIRIRI,WAIKATO,Sun 10:30 AM
